stem,output,morph
bak,baki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bat,bata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kak,kaki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kat,kata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nak,naki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nat,nata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nik,niki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nit,nita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bik,biki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bit,bita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kik,kiki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kit,kita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bak,baki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bat,bata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kak,kaki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kat,kata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nak,naki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nat,nata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nik,niki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nit,nita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bik,biki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bit,bita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kik,kiki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kit,kita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bak,baki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bat,bata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kak,kaki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kat,kata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nak,naki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nat,nata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nik,niki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nit,nita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bik,biki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bit,bita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kik,kiki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kit,kita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bak,baki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bat,bata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kak,kaki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kat,kata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nak,naki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nat,nata,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nik,niki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
nit,nita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bik,biki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
bit,bita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kik,kiki,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
kit,kita,IMPERATIVE+SECOND+F+SINGULAR+COMPLETE
