stem,output,morph
badaq,tivdəqu,FUTURE+SECOND+M+PLURAL+COMPLETE
badaq,tivdoq,FUTURE+SECOND+M+SINGULAR+COMPLETE
badaq,tivdoq,FUTURE+SECOND+M+SINGULAR+MISSING
badaq,jivdəqu,FUTURE+THIRD+M+PLURAL+COMPLETE
badaq,jivdoq,FUTURE+THIRD+M+SINGULAR+COMPLETE
badaq,jivdoq,FUTURE+THIRD+M+SINGULAR+MISSING
bagad,tivgədu,FUTURE+SECOND+M+PLURAL+COMPLETE
bagad,tivgod,FUTURE+SECOND+M+SINGULAR+COMPLETE
bagad,tivgod,FUTURE+SECOND+M+SINGULAR+MISSING
bagad,jivgədu,FUTURE+THIRD+M+PLURAL+COMPLETE
bagad,jivgod,FUTURE+THIRD+M+SINGULAR+COMPLETE
bagad,jivgod,FUTURE+THIRD+M+SINGULAR+MISSING
bagaʁ,tivgəʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
bagaʁ,tivgaʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
bagaʁ,jivgəʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
bagaʁ,jivgaʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
baħal,tivħalu,FUTURE+SECOND+M+PLURAL+COMPLETE
baħal,tivħal,FUTURE+SECOND+M+SINGULAR+COMPLETE
baħal,jivħalu,FUTURE+THIRD+M+PLURAL+COMPLETE
baħal,jivħal,FUTURE+THIRD+M+SINGULAR+COMPLETE
baħan,tivħanu,FUTURE+SECOND+M+PLURAL+COMPLETE
baħan,tivħan,FUTURE+SECOND+M+SINGULAR+COMPLETE
baħan,jivħanu,FUTURE+THIRD+M+PLURAL+COMPLETE
baħan,jivħan,FUTURE+THIRD+M+SINGULAR+COMPLETE
bahaq,tivhaqu,FUTURE+SECOND+M+PLURAL+COMPLETE
bahaq,tivhaq,FUTURE+SECOND+M+SINGULAR+COMPLETE
bahaq,jivhaqu,FUTURE+THIRD+M+PLURAL+COMPLETE
bahaq,jivhaq,FUTURE+THIRD+M+SINGULAR+COMPLETE
baħaʁ,tivħəʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
baħaʁ,tivħoʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
baħaʁ,tivħoʁ,FUTURE+SECOND+M+SINGULAR+MISSING
baħaʁ,jivħəʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
baħaʁ,jivħoʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
baħaʁ,jivħoʁ,FUTURE+THIRD+M+SINGULAR+MISSING
baħaʃ,tivħaʃu,FUTURE+SECOND+M+PLURAL+COMPLETE
baħaʃ,tivħaʃ,FUTURE+SECOND+M+SINGULAR+COMPLETE
baħaʃ,jivħaʃu,FUTURE+THIRD+M+PLURAL+COMPLETE
baħaʃ,jivħaʃ,FUTURE+THIRD+M+SINGULAR+COMPLETE
balal,tivləlu,FUTURE+SECOND+M+PLURAL+COMPLETE
balal,tivlol,FUTURE+SECOND+M+SINGULAR+COMPLETE
balal,tivlol,FUTURE+SECOND+M+SINGULAR+MISSING
balal,jivləlu,FUTURE+THIRD+M+PLURAL+COMPLETE
balal,jivlol,FUTURE+THIRD+M+SINGULAR+COMPLETE
balal,jivlol,FUTURE+THIRD+M+SINGULAR+MISSING
balam,tivləmu,FUTURE+SECOND+M+PLURAL+COMPLETE
balam,tivlom,FUTURE+SECOND+M+SINGULAR+COMPLETE
balam,tivlom,FUTURE+SECOND+M+SINGULAR+MISSING
balam,jivləmu,FUTURE+THIRD+M+PLURAL+COMPLETE
balam,jivlom,FUTURE+THIRD+M+SINGULAR+COMPLETE
balam,jivlom,FUTURE+THIRD+M+SINGULAR+MISSING
balas,tivləsu,FUTURE+SECOND+M+PLURAL+COMPLETE
balas,tivlos,FUTURE+SECOND+M+SINGULAR+COMPLETE
balas,tivlos,FUTURE+SECOND+M+SINGULAR+MISSING
balas,jivləsu,FUTURE+THIRD+M+PLURAL+COMPLETE
balas,jivlos,FUTURE+THIRD+M+SINGULAR+COMPLETE
balas,jivlos,FUTURE+THIRD+M+SINGULAR+MISSING
balaʃ,tivləʃu,FUTURE+SECOND+M+PLURAL+COMPLETE
balaʃ,tivloʃ,FUTURE+SECOND+M+SINGULAR+COMPLETE
balaʃ,tivloʃ,FUTURE+SECOND+M+SINGULAR+MISSING
balaʃ,jivləʃu,FUTURE+THIRD+M+PLURAL+COMPLETE
balaʃ,jivloʃ,FUTURE+THIRD+M+SINGULAR+COMPLETE
balaʃ,jivloʃ,FUTURE+THIRD+M+SINGULAR+MISSING
balat,tivlətu,FUTURE+SECOND+M+PLURAL+COMPLETE
balat,tivlot,FUTURE+SECOND+M+SINGULAR+COMPLETE
balat,tivlot,FUTURE+SECOND+M+SINGULAR+MISSING
balat,jivlətu,FUTURE+THIRD+M+PLURAL+COMPLETE
balat,jivlot,FUTURE+THIRD+M+SINGULAR+COMPLETE
balat,jivlot,FUTURE+THIRD+M+SINGULAR+MISSING
balaʕ,tivləʕu,FUTURE+SECOND+M+PLURAL+COMPLETE
balaʕ,tivlaʕ,FUTURE+SECOND+M+SINGULAR+COMPLETE
balaʕ,jivləʕu,FUTURE+THIRD+M+PLURAL+COMPLETE
balaʕ,jivlaʕ,FUTURE+THIRD+M+SINGULAR+COMPLETE
baqaʕ,tivqəʕu,FUTURE+SECOND+M+PLURAL+COMPLETE
baqaʕ,tivqaʕ,FUTURE+SECOND+M+SINGULAR+COMPLETE
baqaʕ,jivqəʕu,FUTURE+THIRD+M+PLURAL+COMPLETE
baqaʕ,jivqaʕ,FUTURE+THIRD+M+SINGULAR+COMPLETE
baʁaħ,tivʁəħu,FUTURE+SECOND+M+PLURAL+COMPLETE
baʁaħ,tivʁaħ,FUTURE+SECOND+M+SINGULAR+COMPLETE
baʁaħ,jivʁəħu,FUTURE+THIRD+M+PLURAL+COMPLETE
baʁaħ,jivʁaħ,FUTURE+THIRD+M+SINGULAR+COMPLETE
baʁaʁ,tivʁəʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
baʁaʁ,tivʁoʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
baʁaʁ,tivʁoʁ,FUTURE+SECOND+M+SINGULAR+MISSING
baʁaʁ,jivʁəʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
baʁaʁ,jivʁoʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
baʁaʁ,jivʁoʁ,FUTURE+THIRD+M+SINGULAR+MISSING
baʁaʔ,tivʁəʔu,FUTURE+SECOND+M+PLURAL+COMPLETE
baʁaʔ,tivʁaʔ,FUTURE+SECOND+M+SINGULAR+COMPLETE
baʁaʔ,jivʁəʔu,FUTURE+THIRD+M+PLURAL+COMPLETE
baʁaʔ,jivʁaʔ,FUTURE+THIRD+M+SINGULAR+COMPLETE
baʃal,tivʃəlu,FUTURE+SECOND+M+PLURAL+COMPLETE
baʃal,tivʃal,FUTURE+SECOND+M+SINGULAR+COMPLETE
baʃal,jivʃəlu,FUTURE+THIRD+M+PLURAL+COMPLETE
baʃal,jivʃal,FUTURE+THIRD+M+SINGULAR+COMPLETE
bataħ,tivtəħu,FUTURE+SECOND+M+PLURAL+COMPLETE
bataħ,tivtaħ,FUTURE+SECOND+M+SINGULAR+COMPLETE
bataħ,jivtəħu,FUTURE+THIRD+M+PLURAL+COMPLETE
bataħ,jivtaħ,FUTURE+THIRD+M+SINGULAR+COMPLETE
batsaʁ,tivtsəʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
batsaʁ,tivtsoʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
batsaʁ,tivtsoʁ,FUTURE+SECOND+M+SINGULAR+MISSING
batsaʁ,jivtsəʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
batsaʁ,jivtsoʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
batsaʁ,jivtsoʁ,FUTURE+THIRD+M+SINGULAR+MISSING
batsaʕ,tivtsəʕu,FUTURE+SECOND+M+PLURAL+COMPLETE
batsaʕ,tivtsaʕ,FUTURE+SECOND+M+SINGULAR+COMPLETE
batsaʕ,jivtsəʕu,FUTURE+THIRD+M+PLURAL+COMPLETE
batsaʕ,jivtsaʕ,FUTURE+THIRD+M+SINGULAR+COMPLETE
bazaq,tivzəqu,FUTURE+SECOND+M+PLURAL+COMPLETE
bazaq,tivzoq,FUTURE+SECOND+M+SINGULAR+COMPLETE
bazaq,tivzoq,FUTURE+SECOND+M+SINGULAR+MISSING
bazaq,jivzəqu,FUTURE+THIRD+M+PLURAL+COMPLETE
bazaq,jivzoq,FUTURE+THIRD+M+SINGULAR+COMPLETE
bazaq,jivzoq,FUTURE+THIRD+M+SINGULAR+MISSING
bazaz,tivzəzu,FUTURE+SECOND+M+PLURAL+COMPLETE
bazaz,tivzoz,FUTURE+SECOND+M+SINGULAR+COMPLETE
bazaz,tivzoz,FUTURE+SECOND+M+SINGULAR+MISSING
bazaz,jivzəzu,FUTURE+THIRD+M+PLURAL+COMPLETE
bazaz,jivzoz,FUTURE+THIRD+M+SINGULAR+COMPLETE
bazaz,jivzoz,FUTURE+THIRD+M+SINGULAR+MISSING
baʔaʃ,tivʔaʃu,FUTURE+SECOND+M+PLURAL+COMPLETE
baʔaʃ,tivʔaʃ,FUTURE+SECOND+M+SINGULAR+COMPLETE
baʔaʃ,jivʔaʃu,FUTURE+THIRD+M+PLURAL+COMPLETE
baʔaʃ,jivʔaʃ,FUTURE+THIRD+M+SINGULAR+COMPLETE
baʕal,tivʕalu,FUTURE+SECOND+M+PLURAL+COMPLETE
baʕal,tivʕal,FUTURE+SECOND+M+SINGULAR+COMPLETE
baʕal,jivʕalu,FUTURE+THIRD+M+PLURAL+COMPLETE
baʕal,jivʕal,FUTURE+THIRD+M+SINGULAR+COMPLETE
baʕaʁ,tivʕaʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
baʕaʁ,tivʕaʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
baʕaʁ,jivʕaʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
baʕaʁ,jivʕaʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
baʕat,tivʕatu,FUTURE+SECOND+M+PLURAL+COMPLETE
baʕat,tivʕat,FUTURE+SECOND+M+SINGULAR+COMPLETE
baʕat,jivʕatu,FUTURE+THIRD+M+PLURAL+COMPLETE
baʕat,jivʕat,FUTURE+THIRD+M+SINGULAR+COMPLETE
dafaq,tidpəqu,FUTURE+SECOND+M+PLURAL+COMPLETE
dafaq,tidpoq,FUTURE+SECOND+M+SINGULAR+COMPLETE
dafaq,tidpoq,FUTURE+SECOND+M+SINGULAR+MISSING
dafaq,jidpəqu,FUTURE+THIRD+M+PLURAL+COMPLETE
dafaq,jidpoq,FUTURE+THIRD+M+SINGULAR+COMPLETE
dafaq,jidpoq,FUTURE+THIRD+M+SINGULAR+MISSING
dagal,tidgəlu,FUTURE+SECOND+M+PLURAL+COMPLETE
dagal,tidgol,FUTURE+SECOND+M+SINGULAR+COMPLETE
dagal,tidgol,FUTURE+SECOND+M+SINGULAR+MISSING
dagal,jidgəlu,FUTURE+THIRD+M+PLURAL+COMPLETE
dagal,jidgol,FUTURE+THIRD+M+SINGULAR+COMPLETE
dagal,jidgol,FUTURE+THIRD+M+SINGULAR+MISSING
dagam,tidgəmu,FUTURE+SECOND+M+PLURAL+COMPLETE
dagam,tidgom,FUTURE+SECOND+M+SINGULAR+COMPLETE
dagam,tidgom,FUTURE+SECOND+M+SINGULAR+MISSING
dagam,jidgəmu,FUTURE+THIRD+M+PLURAL+COMPLETE
dagam,jidgom,FUTURE+THIRD+M+SINGULAR+COMPLETE
dagam,jidgom,FUTURE+THIRD+M+SINGULAR+MISSING
dagaʁ,tidgəʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
dagaʁ,tidgoʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
dagaʁ,tidgoʁ,FUTURE+SECOND+M+SINGULAR+MISSING
dagaʁ,jidgəʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
dagaʁ,jidgoʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
dagaʁ,jidgoʁ,FUTURE+THIRD+M+SINGULAR+MISSING
daħaf,tidħafu,FUTURE+SECOND+M+PLURAL+COMPLETE
daħaf,tidħaf,FUTURE+SECOND+M+SINGULAR+COMPLETE
daħaf,jidħafu,FUTURE+THIRD+M+PLURAL+COMPLETE
daħaf,jidħaf,FUTURE+THIRD+M+SINGULAR+COMPLETE
daħaq,tidħaqu,FUTURE+SECOND+M+PLURAL+COMPLETE
daħaq,tidħaq,FUTURE+SECOND+M+SINGULAR+COMPLETE
daħaq,jidħaqu,FUTURE+THIRD+M+PLURAL+COMPLETE
daħaq,jidħaq,FUTURE+THIRD+M+SINGULAR+COMPLETE
dahaʁ,tidhaʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
dahaʁ,tidhaʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
dahaʁ,jidhaʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
dahaʁ,jidhaʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
daħas,tidħasu,FUTURE+SECOND+M+PLURAL+COMPLETE
daħas,tidħas,FUTURE+SECOND+M+SINGULAR+COMPLETE
daħas,jidħasu,FUTURE+THIRD+M+PLURAL+COMPLETE
daħas,jidħas,FUTURE+THIRD+M+SINGULAR+COMPLETE
dalaf,tidləfu,FUTURE+SECOND+M+PLURAL+COMPLETE
dalaf,tidlof,FUTURE+SECOND+M+SINGULAR+COMPLETE
dalaf,tidlof,FUTURE+SECOND+M+SINGULAR+MISSING
dalaf,jidləfu,FUTURE+THIRD+M+PLURAL+COMPLETE
dalaf,jidlof,FUTURE+THIRD+M+SINGULAR+COMPLETE
dalaf,jidlof,FUTURE+THIRD+M+SINGULAR+MISSING
dalaq,tidləqu,FUTURE+SECOND+M+PLURAL+COMPLETE
dalaq,tidloq,FUTURE+SECOND+M+SINGULAR+COMPLETE
dalaq,tidloq,FUTURE+SECOND+M+SINGULAR+MISSING
dalaq,jidləqu,FUTURE+THIRD+M+PLURAL+COMPLETE
dalaq,jidloq,FUTURE+THIRD+M+SINGULAR+COMPLETE
dalaq,jidloq,FUTURE+THIRD+M+SINGULAR+MISSING
damam,tidməmu,FUTURE+SECOND+M+PLURAL+COMPLETE
damam,tidmom,FUTURE+SECOND+M+SINGULAR+COMPLETE
damam,tidmom,FUTURE+SECOND+M+SINGULAR+MISSING
damam,jidməmu,FUTURE+THIRD+M+PLURAL+COMPLETE
damam,jidmom,FUTURE+THIRD+M+SINGULAR+COMPLETE
damam,jidmom,FUTURE+THIRD+M+SINGULAR+MISSING
damaʕ,tidməʕu,FUTURE+SECOND+M+PLURAL+COMPLETE
damaʕ,tidmaʕ,FUTURE+SECOND+M+SINGULAR+COMPLETE
damaʕ,jidməʕu,FUTURE+THIRD+M+PLURAL+COMPLETE
damaʕ,jidmaʕ,FUTURE+THIRD+M+SINGULAR+COMPLETE
daqaʁ,tidqəʁu,FUTURE+SECOND+M+PLURAL+COMPLETE
daqaʁ,tidqoʁ,FUTURE+SECOND+M+SINGULAR+COMPLETE
daqaʁ,tidqoʁ,FUTURE+SECOND+M+SINGULAR+MISSING
daqaʁ,jidqəʁu,FUTURE+THIRD+M+PLURAL+COMPLETE
daqaʁ,jidqoʁ,FUTURE+THIRD+M+SINGULAR+COMPLETE
daqaʁ,jidqoʁ,FUTURE+THIRD+M+SINGULAR+MISSING
daʁas,tidʁəsu,FUTURE+SECOND+M+PLURAL+COMPLETE
daʁas,tidʁos,FUTURE+SECOND+M+SINGULAR+COMPLETE
daʁas,tidʁos,FUTURE+SECOND+M+SINGULAR+MISSING
daʁas,jidʁəsu,FUTURE+THIRD+M+PLURAL+COMPLETE
daʁas,jidʁos,FUTURE+THIRD+M+SINGULAR+COMPLETE
daʁas,jidʁos,FUTURE+THIRD+M+SINGULAR+MISSING
daʁaʃ,tidʁəʃu,FUTURE+SECOND+M+PLURAL+COMPLETE
